item_id,title,creator,type,genre,publication_date,page_count,average_rating
2,Fundamental modular parallelism,Scott Stephens,book,thriller,2024-10-23,585,3.13
4,Horizontal fresh-thinking approach,Jesse Wright,book,romance,2020-02-05,161,4.17
8,Monitored heuristic installation,Martin Fitzpatrick,book,non-fiction,2021-09-17,258,4.31
9,Switchable dynamic encryption,Amanda Forbes,book,mystery,2021-02-16,965,4.11
10,Integrated optimizing artificial intelligence,Charles Bush,book,romance,2024-07-05,331,4.61
13,Switchable interactive open system,Joshua Carter,book,mystery,2022-07-13,819,4.52
17,Pre-emptive bandwidth-monitored solution,Stephanie Fields,book,non-fiction,2023-05-02,478,3.62
18,Mandatory modular middleware,Richard Schneider,book,romance,2024-01-06,710,3.17
19,Synchronized global concept,Karen Ortiz,book,romance,2023-01-12,150,4.35
20,Multi-lateral intermediate customer loyalty,Samantha Chavez,book,sci-fi,2022-06-10,597,4.21
21,Compatible national data-warehouse,Christopher Rivera,book,romance,2021-05-23,216,3.69
22,Business-focused exuding orchestration,Steven Cook,book,thriller,2021-12-19,707,3.97
24,Universal optimal attitude,Ryan Marsh,book,mystery,2022-12-01,316,4.53
27,Compatible solution-oriented framework,Joy Jackson,book,thriller,2022-06-24,925,3.71
28,Innovative intermediate protocol,Jesus Jackson,book,fiction,2022-08-28,546,3.04
30,Profound logistical secured line,Greg Tanner,book,sci-fi,2023-10-10,396,3.23
31,Enterprise-wide 3rdgeneration product,Jessica Cobb,book,non-fiction,2023-06-22,920,4.9
32,Enterprise-wide object-oriented methodology,Manuel Diaz,book,mystery,2021-01-08,190,3.87
33,User-friendly maximized flexibility,Mark Clark,book,romance,2024-08-23,510,4.05
34,Public-key reciprocal throughput,John Bell,book,thriller,2024-06-28,447,3.44
38,Optional incremental functionalities,Katherine White,book,non-fiction,2024-04-04,716,3.31
43,Integrated maximized matrix,Lisa Durham,book,mystery,2022-10-03,705,3.11
45,Exclusive cohesive flexibility,Anthony Simmons,book,fiction,2020-08-21,760,4.73
51,Up-sized client-driven encoding,Paula Gentry,book,thriller,2020-07-07,548,4.98
53,Reduced zero-defect moderator,Donna Johnson,book,mystery,2021-03-20,795,4.2
59,Reverse-engineered analyzing matrix,Joy Jackson,book,sci-fi,2022-08-16,758,4.58
61,Phased systemic encryption,Nicole Johnson,book,sci-fi,2024-10-09,620,3.72
62,Digitized high-level leverage,Joshua Carter,book,non-fiction,2023-07-15,449,4.9
63,Integrated 3rdgeneration project,Sandy Evans,book,non-fiction,2024-10-16,258,3.15
68,Public-key disintermediate intranet,James Gardner,book,thriller,2021-11-24,836,3.48
69,Object-based eco-centric framework,John Lowe,book,thriller,2020-05-28,902,3.9
71,Diverse leadingedge product,Steven Cook,book,romance,2021-07-17,551,3.92
72,Visionary secondary installation,Joanna Kelly,book,romance,2023-11-27,640,3.84
73,Grass-roots attitude-oriented time-frame,Michelle Krause,book,romance,2024-08-29,241,4.75
74,Phased user-facing installation,Stephanie Dominguez,book,mystery,2024-08-03,667,4.87
77,Cloned heuristic instruction set,John Ramirez,book,non-fiction,2022-12-20,936,3.9
78,Reactive user-facing Graphic Interface,James Bray,book,sci-fi,2022-03-23,154,3.79
79,Assimilated well-modulated application,Cynthia Shaw,book,fiction,2023-03-01,483,3.45
80,Enterprise-wide responsive intranet,David Sullivan,book,thriller,2023-11-30,765,3.67
81,Devolved 24hour initiative,Mario Young,book,mystery,2020-12-15,949,3.94
83,Diverse dynamic model,Keith Hall,book,fiction,2023-07-11,362,3.43
84,Visionary solution-oriented task-force,Micheal Perkins,book,thriller,2020-08-09,723,4.06
85,Right-sized systemic installation,Kyle Watkins,book,non-fiction,2023-12-03,408,3.24
86,Intuitive local matrices,Greg Tanner,book,romance,2024-04-28,568,3.13
89,Multi-layered contextually-based infrastructure,Brandon Smith,book,non-fiction,2024-05-04,684,3.83
92,Cross-group maximized customer loyalty,Daniel Campbell,book,fiction,2021-04-07,750,3.77
93,Down-sized actuating initiative,Brittany Young,book,fiction,2023-01-18,465,4.58
94,Right-sized empowering collaboration,Sarah Wallace,book,thriller,2020-05-26,743,3.21
98,Universal demand-driven core,Donna Frye,book,sci-fi,2024-09-08,137,3.59
99,Future-proofed executive synergy,Michelle Krause,book,fiction,2022-06-05,423,4.87
102,Enterprise-wide incremental utilization,Abigail Baird,book,mystery,2020-09-07,379,3.25
103,Implemented empowering encoding,Cathy Bell,book,sci-fi,2023-01-17,861,3.88
105,Persevering attitude-oriented access,Steven Taylor,book,romance,2022-04-20,373,4.6
107,Universal human-resource strategy,Kim Beltran,book,mystery,2022-01-27,205,3.16
109,Centralized actuating groupware,Kim James,book,mystery,2024-08-12,557,3.08
112,Adaptive eco-centric middleware,Katherine Graham,book,thriller,2023-01-21,795,3.32
113,Innovative hybrid secured line,Michael Barker,book,romance,2021-10-23,794,4.56
114,Realigned 6thgeneration paradigm,Evan Hobbs,book,non-fiction,2020-11-07,897,4.29
115,Down-sized motivating methodology,Mark Taylor Jr.,book,romance,2024-08-10,133,4.21
117,Progressive intermediate circuit,Richard Hunt,book,romance,2021-04-04,475,3.8
119,Grass-roots value-added hierarchy,Joshua Richardson,book,romance,2024-08-03,220,3.52
120,Horizontal empowering pricing structure,Karen Thomas,book,non-fiction,2024-02-08,726,3.57
122,Down-sized foreground support,Linda Cobb,book,thriller,2024-12-06,555,4.99
131,Cross-group demand-driven forecast,Michael Henry,book,mystery,2020-11-10,757,3.15
132,Down-sized value-added migration,April Finley,book,mystery,2024-01-26,231,4.76
134,Adaptive multi-tasking throughput,Benjamin Duncan,book,fiction,2022-10-23,951,3.25
135,Operative asynchronous encryption,Amanda Nash,book,non-fiction,2023-10-19,430,4.87
136,Synergistic bandwidth-monitored groupware,Ashley King,book,romance,2020-02-01,390,4.69
137,Synergized systemic capability,Michael Brown,book,romance,2021-12-05,381,3.25
138,Reverse-engineered bi-directional Graphic Interface,Mark Moss,book,fiction,2020-09-21,614,4.28
142,Organized fresh-thinking superstructure,Elizabeth Hunter,book,romance,2024-12-15,526,4.24
143,Re-contextualized clear-thinking data-warehouse,Cathy Bell,book,thriller,2024-04-10,658,3.58
145,User-friendly asynchronous neural-net,Stacy Rodriguez,book,fiction,2024-09-19,261,3.88
146,Multi-tiered background initiative,Ryan Marsh,book,mystery,2021-03-26,721,3.29
148,Expanded cohesive info-mediaries,Zachary Santiago,book,romance,2023-11-09,675,3.21
149,Horizontal secondary system engine,Nathan Wilson,book,mystery,2024-09-23,560,3.5
150,Distributed bottom-line framework,Melissa Jensen,book,sci-fi,2022-05-30,984,4.23
151,Optional user-facing workforce,Eric Cox,book,non-fiction,2024-07-25,933,3.65
155,Right-sized interactive array,Lisa Garrett,book,mystery,2023-09-28,606,4.2
162,Distributed clear-thinking software,Willie Lara,book,mystery,2024-06-21,671,4.88
164,Business-focused neutral archive,Mario Young,book,non-fiction,2024-07-17,830,3.67
165,Profound bi-directional migration,Shannon Rogers,book,non-fiction,2022-01-30,720,4.79
166,Cross-platform maximized protocol,Charles Morales,book,romance,2023-07-24,426,3.33
169,Switchable maximized conglomeration,Julie Johnson,book,fiction,2023-11-21,477,3.66
170,Object-based 6thgeneration artificial intelligence,Lori Mitchell,book,romance,2022-01-14,415,4.59
172,Persevering web-enabled secured line,Abigail Baird,book,romance,2022-03-17,691,3.46
173,Fundamental global workforce,Stephanie Knight,book,non-fiction,2020-11-21,636,4.26
175,Fundamental systematic benchmark,Bryan Thomas,book,thriller,2022-02-15,212,3.38
176,Ameliorated 24hour infrastructure,Jonathan York,book,non-fiction,2020-07-16,522,4.38
177,Down-sized solution-oriented matrices,Brandon Brown,book,romance,2022-04-04,582,4.75
183,Customizable 3rdgeneration standardization,Tamara Mcdonald,book,non-fiction,2024-10-23,404,4.54
185,Streamlined disintermediate Internet solution,Amy Hester,book,thriller,2024-03-02,380,3.58
192,Customer-focused responsive structure,Andre Terrell,book,fiction,2022-02-11,202,3.83
200,Secured secondary hardware,Eugene Martinez,book,mystery,2022-03-14,997,3.07
201,Optional 3rdgeneration complexity,Randy Hopkins,book,fiction,2021-05-25,443,3.57
203,Profit-focused directional parallelism,Jeremy Mosley,book,sci-fi,2024-07-02,379,3.39
204,Mandatory real-time structure,Amber Hernandez,book,thriller,2023-03-30,569,4.3
208,Team-oriented value-added array,Eric Warner,book,fiction,2023-04-17,289,4.96
209,De-engineered context-sensitive customer loyalty,Kurt Ewing,book,non-fiction,2020-09-26,106,3.52
210,Pre-emptive bandwidth-monitored utilization,Evan Cooper,book,mystery,2022-01-14,437,3.6
212,Business-focused 3rdgeneration help-desk,Matthew Davis,book,fiction,2024-05-12,576,3.61
213,Multi-channeled systematic complexity,Benjamin Duncan,book,thriller,2020-10-30,888,3.62
214,Profit-focused 5thgeneration workforce,Garrett Wilson,book,mystery,2020-04-10,476,4.23
215,Optional bifurcated process improvement,Becky Wilson,book,sci-fi,2021-02-02,256,3.91
217,Mandatory zero tolerance help-desk,Katherine Brown,book,thriller,2023-10-21,945,3.44
218,Visionary next generation flexibility,Joshua Martin,book,romance,2024-06-09,994,4.57
221,Versatile bifurcated benchmark,Corey Cortez,book,non-fiction,2023-11-13,268,3.66
223,Balanced motivating benchmark,Daniel Lee,book,romance,2020-10-16,556,4.62
224,Decentralized demand-driven hierarchy,Katherine Graham,book,sci-fi,2020-09-27,567,4.13
226,Proactive upward-trending attitude,Dennis Blanchard,book,fiction,2020-09-22,863,3.44
227,Multi-lateral full-range challenge,Alexis Rodriguez,book,mystery,2020-07-27,817,3.13
229,Adaptive dynamic workforce,Michael Dennis,book,non-fiction,2022-04-29,884,4.28
231,Multi-layered transitional system engine,Gloria Mckinney,book,sci-fi,2022-01-12,484,3.16
233,Versatile multi-tasking instruction set,James Jones,book,romance,2023-11-23,502,4.06
236,Assimilated leadingedge circuit,Michael Marsh,book,non-fiction,2023-10-23,571,3.69
237,Universal multi-state architecture,Kurt Ewing,book,thriller,2020-05-18,883,3.23
239,Centralized hybrid task-force,Lori Patton,book,fiction,2020-02-21,557,4.2
241,Self-enabling transitional website,Michael Hendricks,book,fiction,2023-04-05,243,4.01
242,Programmable explicit instruction set,Julie Johnson,book,thriller,2021-12-19,689,3.64
245,Advanced even-keeled moderator,Anthony Parker,book,romance,2023-01-04,1000,4.47
246,Digitized tangible initiative,Steven Cook,book,sci-fi,2022-03-10,669,3.99
249,Streamlined impactful time-frame,Joshua Martin,book,romance,2020-12-10,584,3.48
250,Innovative attitude-oriented alliance,Lisa Guerra,book,thriller,2022-08-23,247,4.61
252,De-engineered multi-state moratorium,Jesse Sampson,book,mystery,2021-05-17,308,3.66
253,Cross-group multimedia neural-net,Michael Nixon,book,mystery,2021-07-08,194,4.07
258,Multi-layered empowering product,Jesus Jackson,book,fiction,2022-06-30,864,5.0
259,Decentralized actuating system engine,Jesse Sampson,book,thriller,2023-03-19,718,4.41
260,Decentralized local framework,Michele Edwards,book,romance,2022-10-26,429,4.55
261,Adaptive logistical Graphical User Interface,Mark Moss,book,thriller,2024-11-14,467,3.62
262,User-friendly optimal open system,Ricky Palmer,book,sci-fi,2023-07-13,577,3.2
264,Focused grid-enabled framework,Amy Kennedy,book,fiction,2021-05-18,676,4.73
267,Inverse multi-state paradigm,Brenda Copeland,book,non-fiction,2020-12-01,611,4.1
270,Centralized interactive capacity,Jamie James,book,thriller,2022-05-04,659,3.98
273,Object-based empowering paradigm,Richard Hunt,book,thriller,2022-06-14,336,3.14
274,Optimized leadingedge solution,Michael Hendricks,book,romance,2024-08-12,566,3.75
276,Digitized motivating capacity,Lydia Howard,book,romance,2022-05-19,521,3.02
279,Phased 5thgeneration synergy,Autumn Anderson,book,non-fiction,2020-09-27,296,4.24
280,Realigned holistic capability,Mrs. Bethany Phillips,book,mystery,2022-12-19,914,3.79
281,Open-source bifurcated capability,Jose Harrison,book,sci-fi,2021-10-21,678,3.49
284,Pre-emptive 4thgeneration utilization,Margaret Erickson,book,fiction,2020-09-02,752,3.02
285,Reverse-engineered intangible application,Randy Robinson,book,sci-fi,2024-08-22,760,4.57
287,User-centric mobile ability,Steven Medina,book,thriller,2020-07-26,680,3.95
288,Monitored asymmetric analyzer,Richard Rodriguez,book,thriller,2022-01-16,387,4.8
290,Mandatory zero tolerance implementation,Brittany Melton,book,thriller,2022-05-02,940,3.8
291,Up-sized real-time capacity,Amber Hernandez,book,romance,2023-10-08,346,4.13
295,Secured incremental info-mediaries,Cory Hogan,book,romance,2021-02-13,709,3.79
297,Synchronized leadingedge support,Emily Herrera,book,mystery,2021-05-05,666,4.88
298,Cross-group composite strategy,Jeffery Nelson,book,romance,2020-01-30,776,3.76
300,Stand-alone bottom-line project,Scott Stephens,book,sci-fi,2022-10-02,828,4.57
301,Ergonomic regional moratorium,Laura Bush,book,mystery,2022-11-03,469,3.21
302,Business-focused non-volatile model,Sonya Chavez,book,sci-fi,2020-11-26,468,4.52
303,Phased motivating adapter,Katherine Taylor,book,non-fiction,2020-07-22,541,3.9
306,Reduced leadingedge artificial intelligence,Amy Kennedy,book,sci-fi,2023-12-29,897,3.17
309,Operative 4thgeneration moderator,Timothy Stark,book,non-fiction,2021-07-17,545,3.55
310,Function-based background budgetary management,Jorge Lee,book,fiction,2024-11-09,469,3.5
311,Quality-focused composite forecast,Jaime Walker,book,sci-fi,2020-09-04,708,4.23
312,Function-based zero administration array,Jack Mills,book,mystery,2020-09-22,106,4.9
313,Open-source systematic concept,Erika Gonzalez,book,sci-fi,2020-04-01,923,4.72
314,Inverse contextually-based algorithm,Grace Miller,book,thriller,2023-07-11,708,3.27
315,Innovative human-resource attitude,Ashley King,book,thriller,2021-07-22,305,3.96
316,Open-source fresh-thinking firmware,Ann Kennedy,book,mystery,2021-11-01,398,4.47
318,Right-sized optimizing encoding,Heather Hernandez,book,sci-fi,2022-06-03,473,3.23
321,Open-source asymmetric matrices,Steven Taylor,book,mystery,2020-02-06,951,4.39
323,Reverse-engineered systematic attitude,Lisa Durham,book,non-fiction,2021-03-10,358,4.32
329,Realigned local analyzer,Zachary Vargas PhD,book,romance,2019-12-17,145,4.13
331,Down-sized 24hour approach,John Blair,book,fiction,2024-08-16,364,3.44
333,Synergized homogeneous hardware,John Vaughn,book,sci-fi,2024-03-03,890,4.36
335,Diverse user-facing monitoring,Jill Spencer,book,fiction,2022-10-09,218,4.66
337,Devolved uniform open architecture,John Mayer,book,mystery,2024-12-13,587,3.2
342,Right-sized full-range adapter,Jose Harrison,book,thriller,2024-07-11,288,3.37
344,Adaptive 24/7 service-desk,Kari Lloyd,book,sci-fi,2020-10-28,104,4.41
345,Realigned tangible strategy,Evan Cooper,book,thriller,2022-05-27,928,4.59
347,Streamlined solution-oriented archive,Brett Pena,book,fiction,2022-08-26,368,4.34
348,Synchronized leadingedge service-desk,Thomas Reyes,book,thriller,2020-07-28,420,4.19
350,Visionary tangible access,Linda Cobb,book,thriller,2020-07-30,822,4.6
352,User-friendly 3rdgeneration task-force,Michael Ortega,book,fiction,2021-05-12,287,3.75
353,Triple-buffered heuristic core,Joshua Richardson,book,sci-fi,2020-05-28,710,3.28
354,Seamless responsive framework,Ashley Blair,book,sci-fi,2023-12-31,750,4.07
356,Automated even-keeled methodology,Ashley Blair,book,mystery,2024-06-24,962,3.9
357,Triple-buffered real-time database,Samantha Howard,book,fiction,2019-12-29,596,3.27
359,Re-contextualized motivating methodology,Janet Cook,book,sci-fi,2020-10-22,827,4.68
360,Ergonomic stable support,Karen Shaw,book,romance,2022-10-14,131,4.59
361,Synergized real-time open system,Timothy Smith,book,mystery,2020-10-31,330,4.08
362,Reverse-engineered clear-thinking synergy,Brett Pena,book,romance,2020-04-12,860,4.55
363,Fundamental non-volatile emulation,Laura Robertson,book,fiction,2024-05-12,686,3.23
365,Synergistic 3rdgeneration solution,Shaun Meyer DDS,book,sci-fi,2023-05-07,659,3.44
366,Seamless eco-centric software,Carlos Clarke,book,thriller,2022-10-04,869,3.5
369,Open-source even-keeled capability,Julian Williams,book,thriller,2023-05-11,702,4.38
371,Balanced uniform definition,Mrs. Felicia Castro DDS,book,non-fiction,2020-03-10,924,3.12
372,Operative national knowledge user,David Jones,book,romance,2021-07-15,651,3.34
376,Exclusive composite groupware,Eric Cox,book,non-fiction,2021-07-05,355,3.29
377,Self-enabling responsive attitude,Paula Gentry,book,thriller,2020-02-04,502,3.98
379,Managed eco-centric encryption,Willie Lara,book,fiction,2020-06-30,512,4.03
380,Front-line global application,Kurt Ewing,book,mystery,2024-01-25,565,4.9
381,Programmable disintermediate archive,Sheila Wilkins,book,thriller,2023-11-02,195,4.46
382,Secured leadingedge task-force,Tiffany Anderson,book,thriller,2020-06-07,466,4.7
384,Centralized 5thgeneration implementation,Robert Garza,book,mystery,2021-07-10,445,4.09
385,Team-oriented asymmetric toolset,Joseph Watson,book,sci-fi,2020-08-05,907,3.69
388,Realigned actuating frame,Paul Saunders,book,sci-fi,2024-03-16,307,4.99
391,Advanced logistical info-mediaries,Tiffany Anderson,book,thriller,2022-04-12,269,3.1
393,Streamlined systematic toolset,Timothy Duke,book,fiction,2020-02-01,318,3.95
394,Programmable full-range parallelism,Sandy Evans,book,romance,2020-12-01,796,3.89
395,Customer-focused 24/7 policy,Charles Hernandez,book,fiction,2023-07-11,980,3.84
396,Reverse-engineered content-based orchestration,Jason Ramos,book,non-fiction,2020-08-02,492,3.18
398,Up-sized regional intranet,Brandon Brown,book,non-fiction,2020-11-19,756,4.99
399,Devolved 6thgeneration approach,Connor Dominguez,book,romance,2020-08-05,108,4.22
400,Reduced intermediate migration,Jessica Haas,book,thriller,2024-10-03,318,4.26
401,Versatile heuristic function,Nicole Acosta,book,romance,2022-11-16,803,3.88
402,Quality-focused zero-defect circuit,Annette Lane,book,fiction,2020-09-10,243,4.5
404,Advanced multi-state parallelism,Christine Bell,book,thriller,2023-03-31,186,3.5
407,Exclusive scalable customer loyalty,Tracy Wells,book,romance,2023-11-19,293,4.5
408,Mandatory content-based secured line,Susan Murphy,book,non-fiction,2022-05-03,606,3.77
409,Team-oriented maximized policy,Samuel Ellis,book,romance,2023-06-03,172,4.06
413,Sharable directional solution,Linda Miller,book,non-fiction,2021-02-08,140,4.85
417,Adaptive high-level access,Laura Robertson,book,non-fiction,2020-04-28,927,3.31
418,Assimilated next generation budgetary management,Patricia Schwartz,book,thriller,2020-09-01,881,4.67
421,Exclusive dedicated forecast,Tina Reynolds,book,romance,2020-10-29,723,3.11
424,Enhanced empowering attitude,April Finley,book,thriller,2020-01-23,365,3.33
425,Synergistic client-driven implementation,Jill Powers,book,mystery,2023-03-26,850,4.77
427,Front-line holistic workforce,Teresa Jones,book,romance,2021-10-26,742,3.15
428,Down-sized multi-tasking website,Sharon Young,book,fiction,2024-12-11,611,4.72
429,Optional transitional architecture,Karen Ortiz,book,mystery,2020-07-19,891,3.21
431,Team-oriented holistic functionalities,Lisa Guerra,book,fiction,2022-12-15,350,3.09
432,Sharable dynamic analyzer,Jill Spencer,book,non-fiction,2023-10-10,283,4.86
434,Distributed fresh-thinking encryption,Lori Mitchell,book,thriller,2020-03-22,427,3.54
435,Grass-roots clear-thinking migration,Benjamin Smith,book,fiction,2024-10-19,614,4.35
436,Pre-emptive demand-driven superstructure,Richard Gutierrez,book,romance,2020-05-12,147,4.91
437,Phased stable pricing structure,Megan Decker,book,mystery,2020-04-12,892,4.69
438,Profound human-resource system engine,Kaitlin Hardin,book,sci-fi,2024-05-15,108,3.74
439,Versatile multimedia hub,Larry Harding,book,mystery,2022-06-13,857,4.25
440,Persistent context-sensitive Graphic Interface,Todd Bishop,book,sci-fi,2023-07-09,891,4.55
451,Persistent intermediate installation,Rebecca Nguyen,book,sci-fi,2021-10-17,817,4.66
452,Proactive foreground flexibility,Amanda Hardin,book,mystery,2021-11-13,339,3.15
453,Enhanced leadingedge emulation,Jill Powers,book,romance,2021-04-14,211,3.31
454,Compatible heuristic artificial intelligence,Megan Decker,book,mystery,2021-06-06,516,3.24
455,Profit-focused multimedia moratorium,Brenda Pierce,book,non-fiction,2023-03-05,562,3.62
456,Grass-roots discrete attitude,Brenda Gallegos,book,fiction,2020-07-19,261,4.62
457,Multi-lateral 5thgeneration moratorium,Arthur Reed,book,thriller,2020-12-15,717,3.08
460,Ergonomic tertiary portal,Jesse Riley,book,fiction,2024-12-12,514,4.71
464,Reduced web-enabled projection,Timothy Gibson,book,thriller,2020-01-06,186,4.16
465,Streamlined multimedia task-force,Sandra Torres,book,fiction,2024-09-18,122,4.99
466,Object-based discrete emulation,Angelica Vincent,book,sci-fi,2023-07-29,928,3.26
470,Ergonomic interactive throughput,Nathaniel Gilbert,book,non-fiction,2024-08-31,381,3.56
473,De-engineered fault-tolerant support,Larry Lane,book,non-fiction,2020-01-02,529,3.4
477,Reverse-engineered 3rdgeneration open system,James Bray,book,mystery,2023-11-19,711,3.44
479,Robust real-time orchestration,Samantha Howard,book,romance,2024-04-16,338,4.95
480,Multi-tiered demand-driven infrastructure,John Mack,book,non-fiction,2020-04-10,372,4.07
486,Networked executive database,Mario Young,book,fiction,2021-02-13,157,3.47
487,Switchable multi-tasking architecture,Joe Miranda,book,sci-fi,2022-03-25,100,3.66
490,De-engineered national instruction set,Arthur Reed,book,non-fiction,2022-05-07,892,3.22
493,Synchronized methodical complexity,Karen Ortiz,book,thriller,2022-12-22,547,4.58
497,Robust dynamic moderator,Anna Evans,book,thriller,2021-08-07,101,4.9
501,Innovative hybrid pricing structure,Michael Stewart,book,mystery,2024-01-28,271,4.27
505,Object-based tangible analyzer,Haley May,book,thriller,2021-02-25,529,4.94
507,Synchronized asymmetric standardization,Stephanie Knight,book,romance,2023-08-04,766,4.52
508,Extended modular installation,Amanda Hardin,book,fiction,2024-12-02,918,4.69
509,Reactive bottom-line hub,Jason Oliver,book,mystery,2020-05-03,207,3.15
510,Customer-focused motivating throughput,Angela May MD,book,non-fiction,2023-11-09,849,3.15
513,Sharable system-worthy service-desk,Cathy Bell,book,sci-fi,2023-09-15,260,3.11
514,Multi-tiered global synergy,Mike Freeman,book,non-fiction,2021-12-14,519,4.39
516,Customizable tertiary challenge,Katherine Nguyen,book,fiction,2021-08-04,502,4.14
518,Configurable neutral protocol,Danielle Wilson,book,thriller,2021-03-02,740,4.2
519,Organic client-driven leverage,James Bray,book,non-fiction,2024-01-22,274,4.28
521,Enhanced explicit capability,Christopher Jones,book,thriller,2022-08-18,371,3.18
523,Advanced systematic flexibility,Linda Miller,book,sci-fi,2020-09-21,576,3.53
526,Business-focused scalable workforce,Thomas Sullivan,book,romance,2022-07-28,332,4.11
529,Right-sized 24hour application,Keith Hall,book,sci-fi,2023-10-27,974,4.43
533,Synergized static architecture,Kimberly Norton,book,sci-fi,2021-01-21,306,4.99
536,Inverse fresh-thinking open architecture,Jessica Cobb,book,mystery,2023-02-03,632,3.92
540,Streamlined foreground access,Anthony Simmons,book,romance,2021-11-26,452,4.76
541,Persevering directional architecture,Abigail Baird,book,sci-fi,2023-04-01,685,4.22
542,Grass-roots solution-oriented process improvement,Christine Bell,book,sci-fi,2021-10-20,247,4.24
544,Right-sized modular benchmark,Kurt Hancock,book,fiction,2023-07-09,863,3.95
545,Re-contextualized composite extranet,Benjamin Smith,book,fiction,2024-10-02,445,4.63
546,Right-sized fresh-thinking product,David Jones,book,sci-fi,2023-06-10,978,4.39
547,Synergistic zero administration solution,Stacy Harper,book,non-fiction,2020-08-14,237,3.6
549,Intuitive static matrices,Angelica Vincent,book,fiction,2020-04-17,292,3.88
552,Reverse-engineered tertiary access,Rebecca Dougherty,book,romance,2021-02-12,513,3.27
555,Configurable analyzing challenge,Kyle Collins,book,mystery,2021-10-30,821,3.4
556,Implemented dedicated collaboration,Michael White,book,romance,2021-11-01,506,4.27
557,Stand-alone 5thgeneration encoding,Charlotte Mason,book,non-fiction,2024-07-29,481,3.98
558,Right-sized leadingedge support,Christina Bates,book,sci-fi,2024-05-05,700,4.1
559,Devolved even-keeled functionalities,Christopher Nelson,book,mystery,2023-03-05,866,4.66
560,Virtual 6thgeneration model,Ethan Delacruz,book,sci-fi,2023-12-01,150,3.33
565,Up-sized directional portal,Michael Williams,book,mystery,2024-04-27,829,4.93
567,Adaptive asymmetric matrix,David Walker,book,thriller,2020-04-21,633,4.65
568,Ergonomic actuating productivity,Logan Newton,book,fiction,2024-12-01,623,5.0
