user_id,item_id,interaction_date,rating,interaction_type,play_count
0,467,2023-10-14,3.5,purchase,32
0,530,2023-06-27,1.1,view,6
0,563,2023-08-19,4.9,save,27
0,579,2024-10-04,2.6,rate,33
0,622,2024-06-16,1.4,purchase,29
0,650,2024-07-21,4.7,purchase,8
0,849,2024-02-16,2.1,rate,16
0,858,2024-03-29,1.1,view,30
0,960,2024-01-18,1.9,rate,23
0,1037,2024-03-08,2.8,rate,15
0,1039,2024-11-04,4.2,purchase,47
0,1392,2024-01-02,1.6,rate,19
0,1541,2023-12-28,2.3,purchase,39
0,1577,2024-05-26,1.4,purchase,19
0,1791,2024-06-07,4.2,purchase,14
0,2162,2024-06-15,4.2,rate,2
0,2324,2023-12-09,3.5,save,13
0,2442,2024-05-28,2.2,rate,21
0,2725,2024-04-21,3.0,purchase,16
0,3293,2024-07-30,4.1,rate,18
0,3979,2024-10-21,4.1,save,39
0,4126,2023-06-26,3.4,save,27
0,4239,2023-12-29,2.7,rate,33
0,4360,2024-09-22,4.0,purchase,18
0,4603,2024-10-10,2.2,purchase,10
0,4912,2024-04-21,3.9,save,26
1,181,2024-09-20,3.3,purchase,34
1,198,2023-09-02,3.1,purchase,30
1,317,2023-09-04,1.0,rate,32
1,475,2024-02-03,3.0,rate,25
1,635,2024-07-03,2.0,purchase,21
1,916,2023-03-09,1.8,save,5
1,987,2024-09-07,3.1,save,32
1,1042,2023-12-19,3.7,view,7
1,1434,2024-01-27,4.7,rate,47
1,1443,2024-05-02,2.3,save,12
1,1728,2024-11-23,5.0,save,29
1,2232,2024-11-13,3.2,view,8
1,2514,2023-06-19,1.1,save,5
1,2753,2024-04-24,5.0,view,6
1,3157,2024-04-13,2.9,view,41
1,3223,2023-04-17,1.1,save,1
1,3707,2023-11-23,3.1,rate,20
1,4039,2023-02-18,2.2,view,14
1,4264,2024-11-03,2.6,view,45
1,4394,2024-05-19,1.5,purchase,50
1,4662,2024-06-11,2.4,rate,22
1,4693,2024-09-29,1.3,rate,38
2,128,2024-11-09,2.4,view,20
2,403,2024-01-18,3.2,view,22
2,593,2023-12-23,3.9,purchase,50
2,621,2024-09-15,2.3,rate,37
2,879,2024-10-08,3.6,save,5
2,1012,2024-11-20,4.7,rate,6
2,1191,2024-02-09,2.1,purchase,13
2,1403,2024-02-16,1.6,rate,21
2,1530,2024-11-01,4.9,purchase,14
2,1728,2024-03-06,4.1,rate,11
2,1746,2024-07-22,1.6,view,24
2,1874,2024-07-18,4.5,rate,19
2,2033,2024-11-23,2.0,purchase,11
2,2055,2024-02-14,3.6,rate,2
2,2075,2024-03-09,3.0,rate,29
2,2254,2024-04-29,3.8,purchase,15
2,2629,2023-12-23,1.3,purchase,29
2,2803,2024-07-06,2.1,rate,37
2,2990,2024-03-25,3.2,view,22
2,3678,2024-05-31,3.0,rate,7
2,3692,2024-10-12,4.2,rate,13
2,3716,2024-11-19,2.2,view,46
2,3936,2024-01-10,3.9,purchase,8
2,4139,2024-07-27,2.6,purchase,32
2,4156,2024-08-10,4.8,purchase,18
2,4419,2024-05-30,1.5,purchase,36
2,4607,2024-02-05,3.4,rate,33
2,4808,2024-09-18,4.6,purchase,26
2,4824,2024-03-16,4.9,save,24
2,4994,2024-04-13,3.5,save,40
3,100,2024-01-31,3.8,rate,34
3,187,2024-03-23,4.1,purchase,23
3,339,2024-11-20,5.0,rate,29
3,534,2024-04-05,4.8,save,37
3,723,2023-12-21,1.2,view,19
3,928,2024-01-09,3.6,save,22
3,1167,2023-12-11,2.8,save,47
3,1664,2024-04-16,4.8,save,14
3,1678,2024-03-27,3.6,purchase,37
3,1945,2024-09-24,4.9,view,29
3,2014,2024-06-30,2.8,save,36
3,2273,2024-07-09,2.6,purchase,33
3,2285,2024-05-29,2.7,rate,45
3,2293,2024-02-15,3.1,save,3
3,2336,2023-11-18,4.8,view,21
3,2601,2024-03-24,1.6,rate,16
3,2609,2024-02-26,1.6,view,40
3,2699,2024-09-29,3.0,save,13
3,2782,2024-12-02,3.2,purchase,47
3,3097,2024-10-15,2.6,view,47
3,3124,2024-07-27,3.4,save,26
3,3781,2023-12-31,1.5,rate,21
3,3924,2024-08-31,2.8,purchase,44
3,3963,2024-11-25,1.4,purchase,4
3,3973,2024-01-05,1.7,purchase,22
3,4069,2024-05-27,3.0,view,41
3,4417,2024-01-04,1.9,rate,6
3,4921,2024-11-29,4.9,save,49
3,4929,2024-06-13,1.4,rate,14
4,41,2024-06-04,1.8,save,3
4,322,2024-07-04,1.7,rate,44
4,590,2024-06-16,1.4,save,36
4,828,2024-09-01,3.8,rate,17
4,898,2024-11-16,2.0,view,48
4,931,2024-07-03,3.9,purchase,2
4,1122,2024-09-20,1.4,view,30
4,1148,2024-07-02,3.7,view,37
4,1561,2024-07-20,4.1,rate,48
4,1693,2024-09-19,1.9,save,49
4,1706,2024-10-20,1.5,rate,27
4,1862,2024-12-10,3.8,save,45
4,2085,2024-09-18,4.3,save,30
4,2120,2024-06-12,1.9,purchase,16
4,2165,2024-06-05,2.7,rate,24
4,2330,2024-05-11,4.9,purchase,27
4,2343,2024-05-09,2.4,purchase,13
4,2883,2024-05-23,4.1,purchase,11
4,3567,2024-07-13,3.9,view,26
4,4167,2024-09-30,2.6,purchase,38
4,4288,2024-10-01,2.1,purchase,10
4,4550,2024-08-20,3.4,purchase,16
4,4561,2024-08-05,3.7,save,9
4,4939,2024-11-10,3.3,purchase,3
